user_id,Edad,Genero,Tipo_ubicación,Hr_uso_movil,Hr_uso_portatil,Hr_uso_Tablet,Hr_uso_TV,Hr_redes_sociales,Hr_uso_gamming,Horas_no_reportadas,Hr_trabajo_efectivo,Hr_entretenimiento,Hr_sueño,Total_hr_día,Puntuación_salud_mental,Ingesta_cafeína_mg_día,Puntuacion_semanal_ansiedad,Puntuacion_semanal_depresion
user_31,59,Hombre,Rural,2.7,2,0,1.5,2.2,1.6,4.5,1.8,1.5,6.2,24,64,90.2,0,16
user_32,63,Mujer,Urbano,1.8,1.3,1,0,4.2,1,5.6,1.2,2.9,5,24,67,159.4,17,13
user_33,56,Otro,SubUrbanoo,3.7,2.9,1.2,0.9,1,1,3.7,2.2,2.5,4.9,24,64,166.2,5,15
user_34,64,Hombre,Rural,0,3.6,0.5,1.7,2,0.7,3,2.1,2.8,7.6,24,46,87.5,4,18
user_35,15,Mujer,Urbano,3.8,0.1,0.9,1.9,3.6,1.6,2.6,0.4,3.6,5.5,24,31,99.6,17,3
user_36,63,Hombre,Urbano,4.9,1,0.7,0,3.2,2.6,0,2.7,0.7,8.2,24,40,178.0,5,12
user_37,19,Mujer,SubUrbanoo,4.3,1,1.5,1.7,4.3,1.4,0,2.9,0.9,6,24,62,132.0,6,8
user_38,33,Hombre,SubUrbanoo,2,0.8,1.3,1.1,2.4,1.8,3.3,1.6,2.9,6.8,24,41,113.7,2,12
user_39,21,Hombre,Urbano,4.1,2,0.3,1.6,2.6,1.1,2.3,2.5,1.3,6.2,24,45,253.2,10,11
user_40,51,Otro,Rural,2.7,0.7,0.6,1.6,2.9,2.6,0.5,2.3,3.7,6.4,24,58,59.9,7,20
user_41,30,Hombre,SubUrbanoo,0.1,0.8,1,1.3,0.9,0,10.1,1.9,2.9,5,24,32,214.3,3,14
user_42,16,Mujer,Urbano,3.2,1.3,1.1,0.4,0.2,3.1,5.4,2.6,0.3,6.4,24,61,42.3,9,2
user_43,37,Mujer,SubUrbanoo,2.1,2.1,0.7,0.2,2.2,0.7,3.3,0.9,5,6.8,24,61,124.0,8,2
user_44,26,Hombre,Urbano,3,2.2,1.2,1.2,1.2,0.8,2.2,2,2,8.2,24,64,65.1,12,1
user_45,62,Mujer,SubUrbanoo,5.5,3.2,1,0.1,3.3,0,0.8,0.1,2.2,7.8,24,42,109.0,18,5
user_46,21,Otro,Urbano,3.3,3.2,0,1.4,2.4,1.4,0.5,1.9,3,6.9,24,70,123.0,14,15
user_47,38,Hombre,SubUrbanoo,1.5,3,0.7,1.2,3.2,0.5,0.5,3.7,2.4,7.3,24,49,114.5,4,17
user_48,14,Mujer,Urbano,4.4,1.7,0.7,0,0.6,2.4,1.7,1.6,3.8,7.1,24,74,162.5,12,8
user_49,32,Mujer,SubUrbanoo,3.5,0.2,1.3,3.4,3.2,1.9,0,3.6,1.2,5.7,24,36,193.9,11,2
user_50,40,Mujer,Urbano,1.3,0.1,1.3,1.6,0,0.5,8.7,1.6,4,4.9,24,46,144.3,8,15
user_51,59,Mujer,SubUrbanoo,0.6,3,0.2,0,0.7,0.3,8.8,0.7,3.4,6.3,24,39,166.2,7,3
user_52,19,Hombre,Urbano,1.5,2.8,1.2,1.7,2.8,0.6,1.6,2.8,1.5,7.5,24,26,228.0,8,13
user_53,56,Otro,Urbano,4.3,1.4,1,1.3,1.4,0.3,1.6,2.6,2.8,7.3,24,74,115.1,20,3
user_54,20,Otro,Urbano,2.5,0.6,1.1,0.2,1.5,0.9,1.4,4.8,4.1,6.9,24,23,195.2,12,17
user_55,59,Mujer,Urbano,3.1,1,0.7,1.8,2.1,0.4,4.7,0.8,3.2,6.2,24,68,276.3,8,17
user_56,47,Mujer,SubUrbanoo,1,2.2,1,0.6,3.7,2.4,0,2.4,2.7,8,24,50,240.7,5,17
user_57,26,Mujer,Rural,4.3,2.2,1.6,1.7,0,0.7,0,2.5,3.3,7.7,24,49,231.5,5,20
user_58,29,Mujer,SubUrbanoo,0,3,1.1,0.8,3.5,1.8,0.9,3.3,3.4,6.2,24,50,186.4,10,2
user_59,48,Mujer,Rural,2,1.5,1,0.6,3.6,1.8,0.4,2.6,1.8,8.7,24,75,207.6,9,6
user_60,62,Mujer,Urbano,3.6,1.8,0.8,1.5,1.4,0,2.9,1.7,2.7,7.6,24,23,125.8,13,12
user_61,52,Mujer,Urbano,1.3,3.1,1.5,0,1.2,1.9,2.4,0.7,3.6,8.3,24,37,145.9,5,6
user_62,16,Mujer,SubUrbanoo,3.9,0,0.4,1.4,1.9,0,3.9,2.4,2.7,7.4,24,39,140.1,6,12
user_63,14,Mujer,Rural,1.7,2.3,0.6,2.2,1.1,0.4,3.8,2.4,1.6,7.9,24,59,116.8,8,3
user_64,18,Hombre,SubUrbanoo,1.2,1.7,0.3,2.8,2.4,1.9,0.4,2.8,2.9,7.6,24,59,157.3,2,15
user_65,54,Hombre,Urbano,4.9,2.7,1.1,2.6,2.6,1.3,0.1,1.7,2,5,24,72,123.8,11,14
user_66,16,Hombre,Urbano,3.2,2.5,1.6,2.9,0.1,0.9,0.1,2.3,3.3,7.2,24,67,153.1,15,12
user_67,41,Mujer,Urbano,3.8,1.3,0.8,1,0.9,0,0.1,0.1,4.4,5,24,66,81.0,12,9
user_68,30,Mujer,Urbano,4.5,1.5,0.5,0.5,0.6,2.2,0.1,0.8,3.4,6.3,24,69,123.3,5,9
user_69,38,Mujer,SubUrbanoo,0,0,1.8,2.3,2.3,1.6,0.1,3.1,1.4,7.9,24,42,215.8,12,4
user_70,56,Mujer,Urbano,4,2.7,1.2,1,3,0.3,0.1,2.2,2.9,6.4,24,70,159.7,4,3
user_71,46,Mujer,Rural,1.9,2.2,1.1,1.5,0.7,0.2,0.1,2.6,0,6.6,24,57,216.7,3,18
user_72,22,Hombre,Rural,2.1,3.4,0.9,2.2,3,2.2,0.1,1.3,2.4,6,24,28,119.7,7,14
user_73,48,Mujer,Rural,3.7,1.6,1.3,3.5,0.9,1.5,0.1,1.1,3.7,6,24,80,137.6,2,8
user_74,26,Mujer,Rural,2.5,2.9,1.1,2,2.9,0,0.1,1.5,3,6.9,24,35,160.7,1,15
user_75,43,Mujer,Urbano,3.9,0.9,0.8,1.7,1.7,0.5,0.1,2.3,2.6,7.7,24,40,140.3,19,3
user_76,60,Hombre,Rural,2.9,0,0.8,0.4,1.5,3.2,0.1,2.8,5.3,7.1,24,28,80.3,18,10
user_77,27,Hombre,Urbano,3.3,1.9,0.5,2.7,3.4,2.2,0.1,1.7,0.3,6.8,24,71,178.3,6,16
user_78,20,Hombre,Rural,2.3,1.4,0.4,1.9,4.1,1.2,0.1,0,0.6,6.2,24,44,100.7,11,20
user_79,26,Hombre,Urbano,1.4,0.9,0.9,1.2,0,1.2,0.1,2.5,3.1,6.4,24,68,149.5,3,0
user_80,35,Mujer,Urbano,1.9,2.9,1.6,1,2.7,0,0.1,2.3,3.7,5,24,55,43.5,9,8
user_81,52,Hombre,Urbano,2.8,3.2,0.5,1.1,2.2,2.5,0.1,2.6,3.7,4.5,24,66,117.6,8,11
user_82,28,Mujer,Rural,5.2,1.8,0.6,0,0.3,0.4,0.1,2.9,1.4,7.2,24,33,178.1,10,9
user_83,57,Hombre,Rural,2,2.1,0.1,2.7,0.7,1.9,0.1,3.6,1.2,5.9,24,36,88.2,20,8
user_84,30,Hombre,SubUrbanoo,3.1,1.3,1.3,2.5,1.2,0.6,0.1,2,2.9,6.1,24,47,105.4,18,20
user_85,59,Hombre,SubUrbanoo,2.6,2.6,1.8,1.3,2.3,0,0.1,1.5,1.2,7.2,24,64,238.2,1,19
user_86,36,Hombre,SubUrbanoo,3.2,0.5,0.6,1.1,1.1,1.6,0.1,3.2,3.9,6.5,24,60,248.3,5,15
user_87,38,Hombre,Urbano,3.4,0.9,0.2,1.5,1.6,0,0.1,3.1,2.5,7.1,24,75,175.7,5,12
user_88,37,Mujer,SubUrbanoo,3.8,1.2,1.2,1.6,3,1.1,0.1,1.7,1.6,6.1,24,67,214.0,0,2
user_89,57,Hombre,Urbano,0,2.5,0.5,1.2,4.5,1.5,0.1,3.3,1.6,7.4,24,27,130.3,6,17
user_90,53,Otro,SubUrbanoo,3.5,1.7,1.3,2.5,2.9,0.9,0.1,2.1,0.5,7.7,24,33,182.7,11,3
user_91,41,Hombre,Rural,2.4,3.4,1.6,0.1,3,0.9,0.1,3.5,1.5,6.6,24,34,180.2,20,18
user_92,27,Mujer,Urbano,1.9,2.8,1.2,0.8,1.8,2.8,0.1,4.1,1.8,6.8,24,58,102.9,11,12
user_93,13,Mujer,Rural,5.2,2.6,1.4,1.8,1.6,0.3,0.1,2.1,2.4,6.6,24,78,135.2,20,11
user_94,37,Mujer,Rural,4,1.6,1.5,0.8,1.9,0.6,0.1,3.7,1.4,8.1,24,30,168.4,5,0
user_95,19,Mujer,Rural,2.2,2.5,1,1.9,0.6,0.7,0.1,3,0.9,4.2,24,48,123.2,13,1
user_96,21,Mujer,SubUrbanoo,1.4,2.9,1.4,0.7,3,1.2,0.1,3.1,2.2,6.9,24,22,77.3,16,2
user_97,36,Mujer,Urbano,0,3.1,1.1,1.2,3.8,1.1,0.1,2.5,0,7.8,24,58,150.9,16,20
user_98,13,Mujer,Urbano,3.3,2.2,1.2,2.5,2.1,2.9,0.1,3.1,2.1,4.6,24,41,191.5,17,20
user_99,56,Hombre,Urbano,3.9,3.6,2.5,2.4,3.3,1,0.1,0.4,4,2.6,24,56,191.5,12,12
user_100,20,Hombre,SubUrbanoo,2.8,2.4,1.1,1.8,3.5,0.2,0.1,2,2.2,5.9,24,60,61.2,12,11
user_101,36,Mujer,Urbano,4.4,2.1,0.3,0.4,0.8,0.6,0.1,1.2,2.7,6.8,24,39,159.1,10,15
user_102,23,Mujer,SubUrbanoo,1,1.7,0.9,1.1,0,1.6,0.1,1.1,2.5,5.9,24,38,184.4,2,13
user_103,63,Mujer,Rural,2.7,1.4,0.8,1.6,1.4,0.9,0.1,0.3,0.7,6,24,32,156.9,16,13
user_104,29,Mujer,Rural,2.6,2.4,0.9,3,2.1,1.5,0.1,1.4,4.8,5.3,24,46,193.2,1,16
user_105,20,Otro,Urbano,2.8,2.1,1.5,0,0.6,1,0.1,1.8,2,7.2,24,38,79.5,1,4
user_106,47,Hombre,Rural,2.8,2.5,0.9,2.6,4.3,1.1,0.1,2,1.6,6.2,24,21,179.5,9,9
user_107,45,Hombre,SubUrbanoo,2.6,2.3,0.3,2.9,2.2,0,0.1,3.3,4,6.4,24,20,132.6,13,8
user_108,17,Mujer,Rural,1.6,4,1,1.4,0.8,0.9,0.1,0.9,0.6,6.6,24,22,208.6,20,6
user_109,51,Hombre,Urbano,0.9,2.4,1.1,0.8,0.8,2.4,0.1,2.6,2.1,4.2,24,63,105.2,16,6
user_110,53,Mujer,Urbano,2.2,1.8,0.9,0,3.4,0,0.1,1.9,1.8,4.6,24,57,102.7,15,10
user_111,40,Hombre,Urbano,5.5,0,1.6,2.3,1.7,3,0.1,1.9,1.7,6.3,24,21,56.2,16,5
user_112,21,Mujer,Urbano,3,1.1,0.7,2.8,3.1,0.7,0.1,3.1,0.4,7.5,24,35,144.2,10,15
user_113,20,Hombre,SubUrbanoo,3,1.9,0.3,0.6,2.6,0.9,0.1,1.5,1.8,6.8,24,48,195.8,18,12
user_114,24,Mujer,Rural,1.6,2,1,1.7,4.1,1.3,0.1,0.9,0.8,4.9,24,56,162.9,10,11
user_115,46,Hombre,Urbano,2.9,2.4,1,2.3,2.2,2.3,0.1,4,0.1,6.8,24,63,155.7,9,1
user_116,45,Hombre,Rural,2.5,1.5,0.9,1.8,1.4,1.4,0.1,2.8,4.2,6.3,24,23,190.8,13,20
user_117,60,Hombre,SubUrbanoo,3.3,1.6,1.4,2.9,0,1.5,0.1,2,2.5,6.1,24,33,145.1,13,12
user_118,35,Hombre,Rural,0.7,2.7,0.3,1.1,0,2.4,0.1,0,1,8.2,24,36,133.4,9,0
user_119,36,Hombre,Urbano,3.6,1.2,0.6,1.4,2.8,0.8,0.1,1.7,3.6,6.5,24,63,150.0,20,9
user_120,49,Mujer,Urbano,4.5,0.2,1,1.7,1.8,1.5,0.1,2,2,6.5,24,64,192.1,3,9
user_121,47,Mujer,Urbano,2.7,2.2,0.7,2.3,1,1.6,0.1,3.8,1.7,4.2,24,36,102.9,9,10
user_122,56,Mujer,Urbano,4,3.1,0.8,1.3,0.7,1.3,0.1,0,3.2,8.1,24,39,196.2,5,8
user_123,34,Mujer,Rural,2.1,2.2,1.3,3.1,0.8,0.5,0.1,2.5,1.2,6.1,24,66,130.8,17,16
user_124,39,Hombre,Urbano,1.4,3.3,0.9,1,4,2.2,0.1,0.6,3.4,6.3,24,48,159.2,5,18
user_125,47,Hombre,Rural,1.6,3.1,0,1.3,4.8,0.6,0.1,3.1,2.3,5.7,24,60,208.8,20,9
user_126,13,Mujer,SubUrbanoo,3.4,1.7,0.7,2.5,0.9,1.7,0.1,1.7,3.5,5.9,24,45,208.4,14,12
user_127,47,Hombre,Urbano,2.9,2.2,1.2,3.4,2.8,1.4,0.1,0,2,6.9,24,61,169.6,5,1
user_128,49,Mujer,SubUrbanoo,4.9,2.3,1.4,2.1,2.5,0.5,0.1,1.5,3.8,5,24,57,181.3,19,8
user_129,59,Mujer,Rural,4.2,1.9,1.4,0.7,0.8,2.8,0.1,2.3,2.5,5.3,24,36,152.2,0,6
user_130,15,Hombre,Urbano,3.4,1.8,1.1,2.5,1.9,0.3,0.1,2.8,3.8,6.4,24,75,172.2,13,11
user_131,13,Hombre,Rural,1.6,1.5,1.1,0.7,0.6,2,0.1,3.3,4.1,6.4,24,47,127.6,2,19
user_132,17,Mujer,Urbano,3.5,0,0.5,0.4,3.3,1.1,0.1,0.7,2.6,6.1,24,28,98.7,0,10
user_133,38,Hombre,SubUrbanoo,3.1,1.2,0,1.2,1.7,0.5,0.1,2,3,6.6,24,51,128.9,13,3
user_134,26,Hombre,SubUrbanoo,1.3,0.7,0.3,2.2,0.7,1.6,0.1,1.3,2.2,3.2,24,53,67.9,13,11
user_135,51,Hombre,Urbano,4.8,2,0.6,0.1,1.9,2,0.1,0.5,1.3,9.3,24,35,88.1,3,11
user_136,21,Hombre,Rural,1.3,2.6,0.9,1.8,1.1,0.8,0.1,2.5,1.5,5.6,24,73,206.3,3,19
user_137,27,Hombre,Rural,2,3.1,0.8,2.6,0,2.5,0.1,2.6,3.7,6.7,24,50,138.0,10,13
user_138,27,Mujer,SubUrbanoo,2.2,2,1.5,1.8,2.2,2.6,0.1,1.5,3.4,6.8,24,74,176.1,19,6
user_139,38,Otro,Urbano,3.9,1,0.5,1.9,0.5,0.5,0.1,0.8,2.7,6.4,24,46,102.5,8,2
user_140,54,Hombre,Urbano,3.7,2.3,1.1,2.5,1,1.3,0.1,1.2,2.3,4.9,24,48,183.1,10,18
user_141,25,Hombre,Urbano,3.1,3.9,0.8,3.1,2.6,0,0.1,0,2.3,8.2,24,20,163.1,14,13
user_142,63,Hombre,SubUrbanoo,3.4,3.6,0.5,3,1.3,2,0.1,0.6,1.6,6.3,24,46,114.8,5,18
user_143,44,Mujer,Urbano,1.1,0.6,0.6,0,1.8,2.5,0.1,0.7,2.6,6.5,24,72,133.8,11,9
user_144,51,Hombre,Urbano,3.6,0.6,0,1.6,3.7,1.6,0.1,3,1,6,24,51,130.4,12,11
user_145,61,Mujer,Urbano,2.8,0.3,1.4,2.4,1.6,0.2,0.1,3,3.5,8.2,24,78,192.5,17,17
user_146,44,Mujer,Rural,0.7,2.3,0.9,2.1,2.9,3.2,0.1,2.3,1.2,6.7,24,72,71.1,10,17
user_147,16,Hombre,SubUrbanoo,3,1.4,1,0.6,0.9,0.8,0.1,1.4,0.8,7,24,54,127.6,1,12
user_148,42,Mujer,SubUrbanoo,3.5,1.2,0.9,0.8,1.4,1.6,0.1,2,2.3,6.5,24,21,110.9,18,16
user_149,49,Mujer,Urbano,0.4,3,0.6,0.8,0.5,2,0.1,1.8,2.4,6.3,24,65,76.1,1,20
user_150,35,Mujer,Urbano,3,2.5,1.4,1.8,2.8,2,0.1,1.2,1.8,5.5,24,20,111.9,16,5
user_151,51,Hombre,SubUrbanoo,3.2,0.3,1.2,1,3.6,1.2,0.1,2.4,3.2,5.6,24,25,42.1,7,15
user_152,57,Otro,SubUrbanoo,2.2,3,0,0,1.6,3,0.1,2.2,3,6.3,24,26,103.5,4,17
user_153,27,Hombre,Urbano,3.6,2.5,0.5,0.3,0,0,0.1,1.9,2.6,4.7,24,21,159.8,10,8
user_154,55,Hombre,SubUrbanoo,2.8,2.5,0,1.1,2.4,0,0.1,1.6,1.3,7.8,24,21,172.7,19,12
user_155,41,Hombre,Rural,3.4,1.4,1.8,0.1,1,1.2,0.1,2.8,1.5,4.9,24,66,175.2,0,3
user_156,48,Mujer,SubUrbanoo,3.8,1.8,0.9,0.3,1.1,2.9,0.1,1.3,0.7,6.7,24,72,197.9,19,12
user_157,25,Hombre,SubUrbanoo,3.8,0,1.1,3.6,2.4,2.4,0.1,1.5,2.3,6.9,24,24,209.4,15,2
user_158,63,Hombre,SubUrbanoo,2.3,1.1,1.4,2.2,2.5,1.8,0.1,3.1,1.8,7.8,24,38,152.1,4,0
user_159,34,Mujer,Rural,2,1.1,0.9,2.6,1.8,0,0.1,1.7,2.4,7.5,24,66,177.3,9,0
user_160,40,Mujer,Urbano,1.4,3.8,1.9,3.7,0.4,1.1,0.1,0.5,3.2,6.7,24,20,108.2,8,8
user_161,14,Hombre,Urbano,3.2,1.3,1.1,3.2,2.4,2.2,0.1,1.7,0.6,6.8,24,54,163.2,18,2
user_162,57,Mujer,Urbano,2.5,2,1.1,0,1.3,1.1,0.1,0.7,3.5,6.4,24,37,83.2,8,17
user_163,18,Hombre,SubUrbanoo,3.7,1.2,1.3,0.5,1.6,1.7,0.1,1.6,1.7,7.1,24,68,150.3,19,1
user_164,40,Hombre,Urbano,1.9,1,0.9,1.1,3.3,1.1,0.1,3.4,1.1,6.8,24,76,201.9,7,10
user_165,40,Otro,SubUrbanoo,3.3,1.4,0.8,2,1.5,1.1,0.1,2.2,2.9,5.1,24,51,140.1,3,8
user_166,56,Mujer,SubUrbanoo,4.9,1.9,1.9,1.6,1.7,1.9,0.1,1.4,3.1,5.6,24,51,170.6,10,1
user_167,56,Hombre,Urbano,4,2.6,0.4,0,1.9,2.6,0.1,2,1.2,6.5,24,72,195.5,3,19
user_168,32,Mujer,Urbano,0.6,1.5,0,0,2.8,0.1,0.1,2.1,1.1,6.2,24,27,134.9,11,3
user_169,42,Hombre,Urbano,3.9,1.5,1.8,1.8,2.4,1,0.1,1.6,1.3,6.8,24,30,96.9,6,8
user_170,23,Mujer,Urbano,3.9,1.1,0.4,1.6,2.3,0.6,0.1,2.9,2.6,5.6,24,39,145.0,7,13
user_171,40,Hombre,Urbano,3.3,0.8,0.9,1.3,3.8,0.2,0.1,0,2.6,6,24,27,95.3,9,18
user_172,37,Hombre,Urbano,4,0.7,0.8,2,1.5,0.1,0.1,2.6,5.3,6,24,47,122.5,12,15
user_173,51,Hombre,SubUrbanoo,1.7,3,1.6,2.7,0.9,1.2,0.1,1.3,0,5.4,24,40,172.1,13,13
user_174,45,Otro,SubUrbanoo,3.1,1.5,1.7,1.8,3.2,0.1,0.1,3.3,1.6,6.2,24,57,159.1,15,14
user_175,13,Mujer,Urbano,4.7,1.6,0.4,0.6,2.3,0.1,0.1,0.5,1.8,8,24,57,199.9,6,17
user_176,64,Hombre,Urbano,3.8,1.7,1.7,1.3,1.6,0.2,0.1,1.1,3.2,5.2,24,21,111.0,16,18
user_177,25,Mujer,SubUrbanoo,1.7,2.4,1,1.5,0.5,1.7,0.1,2.4,2.2,7.4,24,29,100.2,19,8
user_178,53,Hombre,Urbano,1.4,1.5,1.5,0.8,2.3,0.7,0.1,1.4,4.5,7.6,24,61,181.4,18,20
user_179,15,Hombre,Urbano,3.2,2.2,1.5,0.4,0.2,0,0.1,3.4,1,4.4,24,28,162.0,11,20
user_180,18,Hombre,Rural,2.8,1.2,0.9,0.3,1.4,0,0.1,1.1,0.8,4.7,24,22,166.9,7,16
user_181,20,Mujer,SubUrbanoo,1.8,1.6,1.3,0,0.3,2.1,0.1,3.7,2.3,5.9,24,21,114.8,8,9
user_182,39,Otro,Rural,3.7,2.6,0.2,1.3,3.3,1.5,0.1,1.7,2.1,5.4,24,55,27.7,4,4
user_183,49,Hombre,Urbano,3.4,0.8,0.4,0.5,2.5,0.3,0.1,3.1,4.9,7.8,24,28,182.4,9,13
user_184,63,Mujer,Rural,2.6,2,0.8,2.9,0.8,3.3,0.1,2.5,0.9,6,24,53,105.1,13,0
user_185,54,Mujer,Urbano,2.3,1.9,1.1,1.5,2.3,0.9,0.1,2.7,2.6,6.5,24,67,139.3,17,19
user_186,56,Mujer,Urbano,4.7,2.7,0.9,0.4,2.8,0.8,0.1,0.1,3.5,7.4,24,49,63.5,6,2
user_187,36,Hombre,Urbano,1.9,2.5,0.9,0,2,2.3,0.1,2.4,3.4,5.3,24,57,155.7,7,15
user_188,27,Mujer,SubUrbanoo,2.3,2,1.1,1.4,3.1,1,0.1,1.6,5.5,6,24,27,53.2,4,4
user_189,44,Mujer,SubUrbanoo,2.2,1.3,0.9,1.3,0.5,1.8,0.1,3,2.6,5.3,24,30,114.7,19,4
user_190,53,Mujer,Urbano,2.4,0.8,0.8,3,0,1.4,0.1,0,3,9,24,71,93.0,20,16
user_191,64,Mujer,SubUrbanoo,0.3,2,1.2,2,1,1.6,0.1,2.5,1.7,6.7,24,24,225.4,8,2
user_192,61,Mujer,SubUrbanoo,2.8,0.5,0.8,2,2.9,0.1,0.1,1.1,1.2,5.8,24,31,168.0,7,5
user_193,61,Hombre,Rural,1.5,0.9,1.8,1.2,1.9,0.5,0.1,3,2.8,5.6,24,74,115.6,16,15
user_194,64,Hombre,Urbano,3.4,3.7,1.3,1.5,0.1,1.4,0.1,1.8,3.9,6.9,24,49,141.0,7,19
user_195,24,Mujer,Urbano,4.7,0.2,0.3,1.9,3.3,0.7,0.1,1.4,3.9,6.5,24,46,230.3,0,1
user_196,51,Hombre,SubUrbanoo,0,1.8,1.3,1.2,1.3,4,0.1,1.5,1.4,5.2,24,62,102.5,17,4
user_197,14,Mujer,Urbano,2.4,2.8,0.7,2.2,3,1.3,0.1,1.6,2.6,4.5,24,24,94.4,14,18
user_198,15,Otro,Rural,3.7,4.2,1.1,0.4,2.6,0,0.1,0.4,1.9,7,24,39,92.2,15,19
user_199,61,Mujer,SubUrbanoo,0,2.2,0.6,0.8,1,0,0.1,0.5,2.3,5,24,71,115.9,1,10
user_200,49,Hombre,SubUrbanoo,5,2.2,0,0.5,3,2,0.1,1.6,3.7,6,24,40,224.8,12,17
user_201,61,Mujer,SubUrbanoo,2.2,2.4,1.2,2.5,1.4,0.6,0.1,3,3.4,7.3,24,79,160.1,6,12
user_202,14,Mujer,SubUrbanoo,2.3,1.4,1.1,1.5,0.7,1.1,0.1,3.4,1.7,5.3,24,69,148.4,10,20
user_203,14,Otro,Urbano,2.8,3.1,0.7,0.2,1.5,1.5,0.1,2.3,4.1,7.5,24,63,198.5,14,19
user_204,40,Hombre,Rural,6.2,1.5,1.9,0.1,1.5,1,0.1,1.5,1.1,7.2,24,74,191.1,16,19
user_205,35,Otro,Urbano,5,0.4,0.4,1.1,3,1,0.1,1.5,0.9,7.1,24,23,166.4,20,8
